"Uatuma","Nhamunda","Trombetas"
"Harttia depressa","NA","Pseudohemiodon amazonum"
"Tatia nigra","NA","Mastiglanis asopos"
"Harttia uatumensis","NA","Tetranematichthys barthemi"
"NA","NA","Propimelodus caesius"
"NA","NA","Rineloricaria castroi"
"NA","NA","Pterobunocephalus dolichurus"
"NA","NA","Hypoptopoma elongatum"
"NA","NA","Cetopsidium ferreirai"
"NA","NA","Rhamdia foina"
"NA","NA","Brachyglanis microphthalmus"
"NA","NA","Tatia nigra"
"NA","NA","Baryancistrus niveatus"
"NA","NA","Harttia trombetensis"
"NA","NA","Rhamdia muelleri"
"NA","NA","Ancistrus dolichopterus"
