Taxon_Local_ID,otherCatalogNumbers,institutionCode,catalogNumber,basisOfRecord,typeStatus,individualCount,associatedSequences,kingdom,phylum,class,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identificationQualifier,identifiedBy,country,stateProvince,locality,eventDate,recordedBy,decimalLatitude,decimalLongitude,geodeticDatum
2,UFAM:CTGA:14289; UFAM:CTGA:14501; UFAM:CTGA:14502,INPA,tbc,PreservedSpecimen,Other material,3,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Auchenipteridae,Auchenipterichthys,longimanus,"Auchenipterichthys longimanus (Günther, 1864)","(Günther, 1864)",,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-1.84123,-57.07212,WGS84
4,UFAM:CTGA:14421,INPA,tbc,PreservedSpecimen,Other material,1,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Auchenipteridae,Tatia,musaica,"Tatia musaica Royero, 1992","Royero, 1992",aff. musaica,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-1.71782,-57.36856,WGS84
4,UFAM:CTGA:14507; UFAM:CTGA:14508,INPA,tbc,PreservedSpecimen,Other material,2,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Auchenipteridae,Tatia,musaica,"Tatia musaica Royero, 1992","Royero, 1992",aff. musaica,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-1.84123,-57.07212,WGS84
4,,INPA,tbc,PreservedSpecimen,Other material,9,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Auchenipteridae,Tatia,musaica,"Tatia musaica Royero, 1992","Royero, 1992",aff. musaica,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-2.02386,-56.78235,WGS84
5,UFAM:CTGA:14503; UFAM:CTGA:14504; UFAM:CTGA:14505; UFAM:CTGA:14506,INPA,tbc,PreservedSpecimen,Other material,4,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Auchenipteridae,Tatia,nigra,"Tatia nigra Sarmento-Soares & Martins-Pinheiro, 2008","Sarmento-Soares & Martins-Pinheiro, 2008",,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-1.84123,-57.07212,WGS84
6,UFAM:CTGA:14428; UFAM:CTGA:14429,INPA,tbc,PreservedSpecimen,Other material,2,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Auchenipteridae,Trachycorystes,trachycorystes,"Trachycorystes trachycorystes (Valenciennes, 1840)","(Valenciennes, 1840)",,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-1.67511,-57.47678,WGS84
8,UFAM:CTGA:14538,INPA,tbc,PreservedSpecimen,Other material,1,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Doradidae,Amblydoras,,Amblydoras,,,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-1.99702,-57.03758,WGS84
9,UFAM:CTGA:14539; UFAM:CTGA:14540,INPA,tbc,PreservedSpecimen,Other material,2,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Doradidae,Astrodoras,asterifrons,"Astrodoras asterifrons (Kner, 1853)","(Kner, 1853)",,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-2.02386,-56.78235,WGS84
13,UFAM:CTGA:14537,INPA,tbc,PreservedSpecimen,Other material,1,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Goeldiella,eques,"Goeldiella eques (Müller & Troschel, 1849)","(Müller & Troschel, 1849)",,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-1.99702,-57.03758,WGS84
14,UFAM:CTGA:14290,INPA,tbc,PreservedSpecimen,Other material,1,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Pimelodella,,Pimelodella,,,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-1.6909,-57.42231,WGS84
19,UFAM:CTGA:14320; UFAM:CTGA:14321; UFAM:CTGA:14322; UFAM:CTGA:14323; UFAM:CTGA:14324; UFAM:CTGA:14489; UFAM:CTGA:14490; UFAM:CTGA:14491; UFAM:CTGA:14492; UFAM:CTGA:14493,INPA,tbc,PreservedSpecimen,Other material,10,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,dolichopterus,"Ancistrus dolichopterus Kner, 1854","Kner, 1854",,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-1.84123,-57.07212,WGS84
19,UFAM:CTGA:14549,INPA,tbc,PreservedSpecimen,Other material,1,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,dolichopterus,"Ancistrus dolichopterus Kner, 1854","Kner, 1854",,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-2.19081,-56.7084,WGS84
20,UFAM:CTGA:14547; UFAM:CTGA:14548,INPA,tbc,PreservedSpecimen,Other material,2,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,macrophthalmus,"Ancistrus macrophthalmus (Pellegrin, 1912)","(Pellegrin, 1912)",aff. macrophthalmus,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-2.19081,-56.7084,WGS84
21,UFAM:CTGA:14311; UFAM:CTGA:14312; UFAM:CTGA:14313; UFAM:CTGA:14314; UFAM:CTGA:14315,INPA,tbc,PreservedSpecimen,Other material,8,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Dekeyseria,scaphirhyncha,"Dekeyseria scaphirhyncha (Kner, 1854)","(Kner, 1854)",,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-1.84123,-57.07212,WGS84
21,,INPA,tbc,PreservedSpecimen,Other material,1,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Dekeyseria,scaphirhyncha,"Dekeyseria scaphirhyncha (Kner, 1854)","(Kner, 1854)",,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-1.71782,-57.36856,WGS84
29,UFAM:CTGA:14331,INPA,tbc,PreservedSpecimen,Other material,1,tbc,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Farlowella,nattereri,"Farlowella nattereri Steindachner, 1910","Steindachner, 1910",,Rupert A. Collins,Brazil,Pará,Lower Nhamundá River,2013-11,Valéria Nogueira Machado; Emanuell Duarte Ribeiro; Rupert A. Collins,-1.6909,-57.42231,WGS84
